,year,name,percent,sex
120149,2000,Fernando,0.001246,boy
120150,2000,Clayton,0.001229,boy
120151,2000,Carter,0.001222,boy
120152,2000,Ivan,0.00121,boy
120153,2000,Jaden,0.001207,boy
120154,2000,Javier,0.001194,boy
120155,2000,Alec,0.001189,boy
120156,2000,Johnathan,0.001184,boy
120157,2000,Scott,0.001178,boy
120158,2000,Manuel,0.001162,boy
120159,2000,Cristian,0.001161,boy
120160,2000,Alan,0.001157,boy
120161,2000,Raymond,0.001148,boy
120162,2000,Brett,0.001142,boy
120163,2000,Max,0.001128,boy
120164,2000,Andres,0.001127,boy
120165,2000,Gage,0.001125,boy
120166,2000,Mario,0.001118,boy
120167,2000,Dawson,0.001108,boy
120168,2000,Dillon,0.001085,boy
120169,2000,Cesar,0.001082,boy
120170,2000,Wesley,0.001063,boy
120171,2000,Levi,0.001044,boy
120172,2000,Jakob,0.001036,boy
120173,2000,Chandler,0.001021,boy
120174,2000,Martin,0.00101,boy
120175,2000,Malik,0.000999,boy
120176,2000,Edgar,0.000993,boy
120177,2000,Trenton,0.000989,boy
120178,2000,Sergio,0.000988,boy
120179,2000,Nolan,0.000972,boy
120180,2000,Josiah,0.000971,boy
120181,2000,Marco,0.00097,boy
120182,2000,Peyton,0.000959,boy
120183,2000,Harrison,0.000949,boy
120184,2000,Hector,0.000948,boy
120185,2000,Micah,0.000946,boy
120186,2000,Roberto,0.000938,boy
120187,2000,Drew,0.000934,boy
120188,2000,Brady,0.000903,boy
120189,2000,Erick,0.000903,boy
120190,2000,Conner,0.000901,boy
120191,2000,Jonah,0.000879,boy
120192,2000,Casey,0.000874,boy
120193,2000,Jayden,0.000873,boy
120194,2000,Emmanuel,0.000863,boy
120195,2000,Edwin,0.000862,boy
120196,2000,Andre,0.000859,boy
120197,2000,Phillip,0.00085,boy
120198,2000,Brayden,0.000844,boy
120199,2000,Landon,0.000843,boy
120200,2000,Giovanni,0.000843,boy
120201,2000,Bailey,0.00084,boy
120202,2000,Ronald,0.000838,boy
120203,2000,Braden,0.000831,boy
120204,2000,Damian,0.000824,boy
120205,2000,Donovan,0.000823,boy
120206,2000,Ruben,0.000822,boy
120207,2000,Frank,0.000819,boy
120208,2000,Gerardo,0.000815,boy
